valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2025-M04,month,CHFL,CHFL,all,agegroup_tick,all,31,9091915,0.34,39,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2025-M05,month,CHFL,CHFL,all,agegroup_tick,all,70,9091915,0.77,109,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2025-M06,month,CHFL,CHFL,all,agegroup_tick,all,133,9091915,1.46,242,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2025-M07,month,CHFL,CHFL,all,agegroup_tick,all,127,9091915,1.4,369,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2025-M08,month,CHFL,CHFL,all,agegroup_tick,all,62,9091915,0.68,431,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2025-M09,month,CHFL,CHFL,all,agegroup_tick,all,28,9091915,0.31,459,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2025-M10,month,CHFL,CHFL,all,agegroup_tick,all,30,9091915,0.33,489,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2025-M11,month,CHFL,CHFL,all,agegroup_tick,all,11,9091915,0.12,500,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2025-M12,month,CHFL,CHFL,all,agegroup_tick,all,2,9091915,0.02,502,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2026-M01,month,CHFL,CHFL,all,agegroup_tick,all,4,9091674,0.04,4,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2026-M02,month,CHFL,CHFL,all,agegroup_tick,all,3,9091674,0.03,7,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2026-M03,month,CHFL,CHFL,all,agegroup_tick,all,11,9091674,0.12,18,NA,rising,NA,NA,NA,NA,NA,TRUE
