valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2020-M08,month,CHFL,CHFL,all,agegroup_tick,all,9,8709355,0.1,81,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2020-M09,month,CHFL,CHFL,all,agegroup_tick,all,6,8709355,0.07,87,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2020-M10,month,CHFL,CHFL,all,agegroup_tick,all,14,8709355,0.16,101,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2020-M11,month,CHFL,CHFL,all,agegroup_tick,all,13,8709355,0.15,114,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2020-M12,month,CHFL,CHFL,all,agegroup_tick,all,17,8709355,0.2,131,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2021-M01,month,CHFL,CHFL,all,agegroup_tick,all,11,8778099,0.13,11,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2021-M02,month,CHFL,CHFL,all,agegroup_tick,all,14,8778099,0.16,25,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2021-M03,month,CHFL,CHFL,all,agegroup_tick,all,16,8778099,0.18,41,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2021-M04,month,CHFL,CHFL,all,agegroup_tick,all,15,8778099,0.17,56,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2021-M05,month,CHFL,CHFL,all,agegroup_tick,all,17,8778099,0.19,73,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2021-M06,month,CHFL,CHFL,all,agegroup_tick,all,35,8778099,0.4,108,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2021-M07,month,CHFL,CHFL,all,agegroup_tick,all,29,8778099,0.33,137,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2021-M08,month,CHFL,CHFL,all,agegroup_tick,all,35,8778099,0.4,172,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2021-M09,month,CHFL,CHFL,all,agegroup_tick,all,27,8778099,0.31,199,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2021-M10,month,CHFL,CHFL,all,agegroup_tick,all,15,8778099,0.17,214,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2021-M11,month,CHFL,CHFL,all,agegroup_tick,all,14,8778099,0.16,228,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2021-M12,month,CHFL,CHFL,all,agegroup_tick,all,3,8778099,0.03,231,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2022-M01,month,CHFL,CHFL,all,agegroup_tick,all,6,8855062,0.07,6,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2022-M02,month,CHFL,CHFL,all,agegroup_tick,all,3,8855062,0.03,9,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2022-M03,month,CHFL,CHFL,all,agegroup_tick,all,3,8855062,0.03,12,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2022-M04,month,CHFL,CHFL,all,agegroup_tick,all,3,8855062,0.03,15,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2022-M05,month,CHFL,CHFL,all,agegroup_tick,all,20,8855062,0.23,35,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2022-M06,month,CHFL,CHFL,all,agegroup_tick,all,21,8855062,0.24,56,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2022-M07,month,CHFL,CHFL,all,agegroup_tick,all,9,8855062,0.1,65,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2022-M08,month,CHFL,CHFL,all,agegroup_tick,all,15,8855062,0.17,80,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2022-M09,month,CHFL,CHFL,all,agegroup_tick,all,8,8855062,0.09,88,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2022-M10,month,CHFL,CHFL,all,agegroup_tick,all,17,8855062,0.19,105,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2022-M11,month,CHFL,CHFL,all,agegroup_tick,all,11,8855062,0.12,116,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2022-M12,month,CHFL,CHFL,all,agegroup_tick,all,5,8855062,0.06,121,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2023-M01,month,CHFL,CHFL,all,agegroup_tick,all,5,9002273,0.06,5,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2023-M02,month,CHFL,CHFL,all,agegroup_tick,all,2,9002273,0.02,7,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2023-M03,month,CHFL,CHFL,all,agegroup_tick,all,3,9002273,0.03,10,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2023-M04,month,CHFL,CHFL,all,agegroup_tick,all,7,9002273,0.08,17,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2023-M05,month,CHFL,CHFL,all,agegroup_tick,all,12,9002273,0.13,29,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2023-M06,month,CHFL,CHFL,all,agegroup_tick,all,9,9002273,0.1,38,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2023-M07,month,CHFL,CHFL,all,agegroup_tick,all,17,9002273,0.19,55,NA,stagnant,NA,NA,NA,NA,NA,TRUE
